JUGADORAS,EQUIPOS
Maika BRUST,Eibar Rugby Taldea
"Sidorella BRACIC
",CR Olímpico de Pozuelo
"Laura DELGADO
",Exeter Chiefs
"Marta ESTELLÉS
",CR Majadahonda
Saioa JAURENA,Association Sportive Bayonnaise
Isabel RICO,CR Olímpico de Pozuelo
"Aleuzenev CID
",Eibar Rugby Taldea
Marieta ROMÁN,Universitario de Sevilla CR
Cristina BLANCO,CR Olímpico de Pozuelo
Isabel MACÍAS,AC Bobigny 93 Rugby
Margarita RODRÍGUEZ,Universitario de Sevilla CR
Nuria JOU,AC Bobigny 93 Rugby
Lourdes ALAMEDA,Sanse Scrum RC
Carmen CASTELLUCCI,AC Bobigny 93 Rugby
"Mónica CASTELO
",Stade Rennais
"Paula GIL
",CR Complutense Cisneros
Anna PUIG,UE Santboiana
María LOSADA,CR Sant Cugat
María CALVO,CR Complutense Cisneros
Olivia FRESNEDA,CR Complutense Cisneros
Paula MEDÍN,CRAT A Coruña
"Carmen RODERA
",CR Majadahonda
Alba CAPELL,Barça Rugby
Lucía DÍAZ,CR Majadahonda
Patricia GARCÍA,Exeter Chiefs
"Carla RODRÍGUEZ
",CR Sant Cugat
Julia CASTRO,Universitario de Sevilla CR
Inés BUESO-INCHAUSTI,CR Complutense Cisneros
Anne FERNÁNDEZ DE CORRES,Eibar Rugby Taldea
"Eva AGUIRRE
",CR Majadahonda
Bruna ELÍAS,CR Majadahonda
Amaia ERBINA,FER
Iciar POZO,CR Complutense Cisneros
Zahía PÉREZ,CR Complutense Cisneros
"Amalia ARGUDO
",Stade Toulousain
Claudia PEÑA,Barça Rugby
Marta CARMONA,Universitario de Sevilla CR
Bea DOMÍNGUEZ,Sanse Scrum RC
Lide ERBINA,Eibar Rugby Taldea
María GARCÍA,CR Majadahonda
"Beth SEGARRA
",CR Sant Cugat
Paula REQUENA,FER
Alba VINUESA,CR Complutense Cisneros
Clara PIQUERO,Association Sportive Bayonnaise
Ingrid ALGAR,Sanse Scrum RC
"Lea DUCHER
",Universitario de Sevilla CR
Iera ECHEBARRÍA,Eibar Rugby Taldea
Cristina LÓPEZ,CR Majadahonda
