TEMPORADA,FEDERACIONES_TERRITORIALES,TOTAL,HOMBRES,MUJERES
2016,A N D A L U C Í A,4.162,3.672,490.0
2016,A R A G Ó N,770.0,633.0,137.0
2016,A S T U R I A S,915.0,771.0,144.0
2016,B A L E A R E S,975.0,883.0,92.0
2016,C A N A R I A S,240.0,230.0,10.0
2016,C A N T A B R I A,617.0,542.0,75.0
2016,C A S T I L L A  -  L A  M A N C H A,42.0,42.0,0.0
2016,C A S T I L L A  Y  L E Ó N,2.14,1.75,390.0
2016,C A T A L U Ñ A,6.493,5.473,1.02
2016,E X T R E M A D U R A,304.0,304.0,0.0
2016,G A L I C I A,1.473,1.24,233.0
2016,M A D R I D,8.384,7.27,1.114
2016,M U R C I A,920.0,775.0,145.0
2016,N A V A R R A,896.0,788.0,108.0
2016,P A I S  V A S C O,1.934,1.704,230.0
2016,V A L E N C I A,3.967,3.493,474.0
2017,CATALUÑA,6415.0,5383.0,1032.0
2017,ANDALUCIA,4861.0,4349.0,512.0
2017,ARAGÓN,646.0,497.0,149.0
2017,BALEARES,1035.0,929.0,106.0
2017,CANARIAS,236.0,226.0,10.0
2017,CANTABRIA,643.0,543.0,100.0
2017,MADRID,8773.0,7569.0,1204.0
2017,MURCIA,863.0,678.0,185.0
2017,EXTREMADURA,185.0,184.0,1.0
2017,GALICIA,1645.0,1372.0,273.0
2017,NAVARRA,921.0,812.0,109.0
2017,CASTILLA Y LEON,2313.0,1929.0,384.0
2017,VALENCIA,4089.0,3504.0,585.0
2017,ASTURIAS,1018.0,836.0,182.0
2017,PAIS VASCO,1978.0,1678.0,300.0
2018,ANDALUCIA,4816.0,3636.0,605.0
2018,ARAGÓN,617.0,407.0,152.0
2018,BALEARES,1096.0,874.0,134.0
2018,CANARIAS,248.0,192.0,16.0
2018,CANTABRIA,698.0,497.0,91.0
2018,EXTREMADURA,319.0,282.0,8.0
2018,NAVARRA,915.0,693.0,136.0
2018,CASTILLA Y LEON,2553.0,1894.0,424.0
2018,VALENCIA,4131.0,3089.0,510.0
2018,ASTURIAS,1195.0,796.0,224.0
2018,PAIS VASCO,2132.0,1555.0,305.0
2018,MADRID,9222.0,7469.0,771.0
2018,CATALUÑA,6725.0,4964.0,1104.0
2018,MURCIA,856.0,651.0,158.0
2018,GALICIA,1694.0,1217.0,239.0
2019,ANDALUCIA,5610.0,5209.0,323.0
2019,ARAGON,821.0,749.0,154.0
2019,ASTURIAS,1136.0,924.0,202.0
2019,BALEARES,1051.0,999.0,102.0
2019,CANARIAS,291.0,276.0,24.0
2019,CANTABRIA,705.0,553.0,87.0
2019,CASTILLA Y LEON,2568.0,2460.0,433.0
2019,CATALUÑA,6375.0,5497.0,938.0
2019,EXTREMADURA,316.0,279.0,14.0
2019,GALICIA,1768.0,1455.0,265.0
2019,MADRID,9384.0,8438.0,849.0
2019,MURCIA,881.0,606.0,158.0
2019,NAVARRA,972.0,879.0,32.0
2019,VALENCIA,3955.0,3539.0,192.0
2019,PAIS VASCO,1943.0,1729.0,307.0
2020,ANDALUCIA,4226.0,3921.0,244.0
2020,ARAGON,859.0,782.0,161.0
2020,ASTURIAS,611.0,498.0,109.0
2020,BALEARES,1005.0,956.0,98.0
2020,CANARIAS,225.0,213.0,19.0
2020,CANTABRIA,447.0,351.0,55.0
2020,CASTILLA Y LEON,1750.0,1678.0,295.0
2020,CATALUÑA,5599.0,4831.0,825.0
2020,EXTREMADURA,128.0,113.0,6.0
2020,GALICIA,1265.0,1042.0,190.0
2020,MADRID,7554.0,6793.0,683.0
2020,MURCIA,667.0,459.0,120.0
2020,NAVARRA,559.0,505.0,18.0
2020,VALENCIA,3547.0,3174.0,172.0
2020,PAIS VASCO,1742.0,1551.0,275.0
